COUNTRY,count
Netherlands,21404
Germany,15482
France,9747
United Kingdom,8702
Italy,8579
Belgium,4717
Spain,4219
Austria,3877
Switzerland,2831
Sweden,2431
Norway,2019
Ukraine,1858
Portugal,1656
Denmark,1394
Finland,1081
Poland,979
Hungary,949
Czechia,696
Slovakia,552
Ireland,541
Romania,484
Slovenia,460
Bulgaria,456
Greece,378
Croatia,279
Luxembourg,259
Iceland,231
Latvia,144
Estonia,142
Lithuania,56
Malta,40
North Macedonia,37
Moldova,34
Cyprus,29
Monaco,28
Liechtenstein,27
Montenegro,14
Bosnia and Herzegovina,6
Albania,4
Belarus,4
